종사자수_총소계,연간급여_합계,건물소유면적,건물임차면적,건물무상면적,건물합계면적,매출액,영업비용,인건비,임차료,기타영업비용,영업이익,사업체승수,종사자승수,매출액승수
48,1230,5718,,,5718,2455,3257,1405,103,1749,-802,1,1,1
7,539,,1650,,1650,1929,2728,583,84,2061,-799,1,1,1
52,922,,973,,973,3207,4003,1097,626,2280,-796,1,1,1
19,531,,,,,755,1532,629,0,903,-777,1.83333,1.79747,1.2919807
22,878,,,,,6093,6857,1131,98,5628,-764,1,1,1
65,645,735,,,735,936,1692,755,0,937,-756,1,1,1
60,1249,21651,,,21651,7623,8368,1593,155,6620,-745,1,1,1
298,6104,5883,,,5883,29338,30080,8242,235,21603,-742,1,1,1
31,1250,8112,0,0,8112,2461,3193,1468,0,1725,-732,1,1,1
24,820,11800,,,11800,2122,2853,929,69,1855,-731,1,1,1
15,380,,,,,571,1300,463,49,788,-729,1.16667,1.20779,1.0453301
46,2281,,885,,885,13919,14644,2521,1204,10919,-725,1,1,1
109,2396,15225,,,15225,7074,7771,2793,22,4956,-697,1,1,1
442,10868,,,,,64778,65469,15193,2139,48137,-691,1,1,1
45,798,,660,,660,2775,3464,950,541,1973,-689,3.83721,3.24536,3.714122
45,1510,5201,,,5201,2381,3069,1994,0,1075,-688,1,1,1
14,138,,185,,185,427,1110,171,30,909,-683,5.15385,4.9521,5.1958278
41,1397,45949,,,45949,4025,4706,1701,33,2972,-681,1.6,1.5841,1.532989
150,1996,,3300,,3300,7480,8154,2312,468,5374,-674,1,1,1
71,2105,28102,2713,18,30833,8786,9459,2630,65,6764,-673,1,1,1
23,84,,,,,2456,3127,132,407,2588,-671,2.33333,2.38356,2.6051628
39,1238,10781,,,10781,5111,5774,1534,0,4240,-663,1,1,1
14,315,2746,,,2746,436,1093,323,1,769,-657,1,1,1
96,2745,,25760,,25760,8675,9315,3388,337,5590,-640,1,1,1
28,406,5258,,,5258,1162,1801,458,26,1317,-639,1,1,1
57,260,37656,,,37656,4905,5536,310,11,5215,-631,1,1,1
123,3131,1364,,,1364,9730,10357,3433,46,6878,-627,1,1,1
74,1274,19480,132,,19612,5220,5833,1411,79,4343,-613,1,1,1
43,469,,990,,990,928,1534,500,53,981,-606,2,2.03365,2.7552723
296,2676,29891,,,29891,40311,40894,3485,6541,30868,-583,1,1,1
51,938,1914,,,1914,3820,4401,1027,1227,2147,-581,1,1,1
30,730,12353,,,12353,1309,1888,896,0,992,-579,1,1,1
72,217,,1650,,1650,1623,2186,224,240,1722,-563,1,1,1
77,1235,,3960,,3960,3258,3815,1241,402,2172,-557,1,1,1
